00005855n|Se conoce como juego sexual a los preludios del acto sexual.
04595117n|Naruto: es un videojuego de accion, aventuras y rol de PlayStation 2 basado en el manga y anime de Naruto.
04596046n|Naruto Ninja Destiny es un videojuego desarrollado por Takara Tomy y publicado por D3 Publisher en febrero de 2008 para Nintendo DS.
04596134n|La cirulla es un juego de naipes tradicional de la region italiana de Liguria, difundido tambien en el Bajo Piamonte.
04597755n|Big Striker es un juego arcade de futbol lanzado por Jaleco en 1992.
04598003n|Sonic Adventure 2: Battle es un videojuego producido por Sonic Team y distrubuido por Sega para la videoconsola Game Cube.
04598573n|El Juego de cañas, es un juego de origen militar muy celebrado en España del siglo XVI al XVIII, en muchas de sus Plazas Mayores.
04599084n|Grand Prix Racing Online, llamado generalmente \"GPRO\", es un juego online simulador de Formula 1.
04602236n|BattleKnight es un juego de estrategia en tiempo real publicado por la empresa alemana de videojuegos Gameforge.
04602541n|Empire Strike es un videojuego de estrategia en linea multijugador masivo en el que el unico requisito que se necesita para jugar es un navegador web.
04613286n|El cuju fue un juego de pelota que se jugaba en Asia hace miles de años, y que se considera el precursor del futbol.
04614825n|Petalos alrededor de la rosa es un juego de ingenio.
04615480n|Mykerinos es un juego de estilo europeo diseñado por Nicolas Oury cuya base son las mayorias, tipo de juegos que se inicio con la publicacion de El Grande.
04618715n|The Simpsons: Minutes to Meltdown es un juego creado por la compañia Electronic Arts en colaboracion con Fox Mobile Entertainment y Gracie Films que salio en 2007 siendo exclusivo para moviles como unica plataforma.
08253803n|Dice Puzzle es un videojuego publicado en 1983 por Panda Computer Games para el Atari Video Computer System.
08255042n|Laberinto es un juego de rol del genero fantastico y cuyos elementos de campaña son tradicionales del manga.
08255043n|Factory: La Geonova Libre es un juego de rol de fantasia que enmarca el conflicto entre la magia y la tecnologia.
08255198n|Phantom Tank es un videojuego publicado en 1983 por la empresa taiwanesa Bit Corporation para el Atari 2600.
08255949n|Superheroes Inc. es un juego de rol español publicado por primera vez en 1995.
08256336n|La Bono Loto es un juego de azar regulado por Loterias y Apuestas del Estado, basado en la tradicional loteria de numeros o primitiva.
08256512n|Los juegos de baile han sido tradicionalmente organizados en fiestas en las que participan personas adultas.
08256600n|Cachipun gigante o Cachipun Aleman es un juego infantil donde intervienen dos equipos, con un factor en comun.
08256762n|Super-Tirititran - El superheroe gaditano es un videojuego en 2 dimensiones recreando los antiguos juegos de naves.
08256847n|Cuarenta es un juego de naipes proveniente de Ecuador.
08257226n|Oujisama Level One es un videojuego del tipo RPG con una historia sh nen-ai de trama principal entre los protagonistas, que hace que sea reconocido como un \"juego BL\".
08257502n|The King of Fighters EX 2 Howling Blood es el juego de la saga The King of Fighters para la consola portatil, Game Boy Advance.
08257551n|Rescue Terra I es un videojuego publicado en 1982 por VentureVision para el Atari 2600.
08258845n|Actualmente se usan las computadoras en el deporte y otros aparatos electronicos para esclarecer jugadas dudosas en medio de un juego, para observar la trayectoria y el tiempo en los lanzamientos en diversos deportes o para que un atleta pueda determinar sus movimientos o su tiempo para mejorarlos posteriormente.
08259283n|Juego de salon para ser jugado entre cuatro a diez personas, a veces hasta 20.
08259977n|Malagai es un videojuego publicado en 1983 por Answer Software para el Atari 2600.
08260092n|Heroes Evolutions es un juego on-line parecido a The Lost Experience, un juego creado por los productores de la serie Lost, en esta clase de juego on-line, el jugador va descubriendo mas detalles desconocidos sobre la serie que le permiten avanzar en la trama de la misma, en el caso de Heroes Evolutions se pueden encontrar paginas ficticias como por ejemplo la de la compañia \"PrimaTech Paper\" que es la compañia donde trabajaba Noah Bennet, donde el jugador puede pedir empleo y asi revelar mas detalles de lo que hace la compañia.
08260148n|Es un juego tipico del pueblo de Silvan, en la comarca tradicional de La Cabrera, en El Bierzo, en la Provincia de Leon, Comunidad Autonoma de Castilla y Leon, en España.
08260182n|Un juego multijugador es un juego que es jugado por varios jugadores.
08260234n|Fantastic Voyage es un videojuego publicado en 1982 por la empresa 20th Century Fox para la consola Atari 2600.
08260348n|Trick Shot es un videojuego publicado en 1982 por la empresa Imagic para la consola Atari 2600.
08260367n|Dancing Plate es un videojuego publicado en 1983 por la empresa Bit para la consola Atari 2600.
08260386n|Realsports Volleyball es un videojuego publicado por la empresa Atari en 1982 para la consola Atari 2600.
08260392n|Zona 0 es un videojuego del tipo arcade realizado por la compañia española de videojuegos Topo Soft en 1991 para los ordenadores de 8 bits Sinclair ZX Spectrum, MSX, Amstrad CPC y para el ordenador de 16 bits PC.
08260421n|Maze Craze: A Game Of Cops And Robbers es un videojuego de laberintos publicado en 1980 por Atari para la consola Atari 2600.
08260467n|Harbor Escape es un videojuego publicado en 1983 por la empresa Panda para la consola Atari 2600.
08260504n|Mangia' es un videojuego publicado en 1983 por la empresa Spectravideo para la consola Atari 2600.
08260546n|Racquetball es un videojuego publicado en 1981 por la empresa Apollo para la consola Atari 2600.
08260629n|Scuba Diver es un videojuego publicado en 1983 por la empresa Panda Computer Games para la consola Atari 2600.
08260644n|Sea Hawk es un videojuego publicado en 1983 por la empresa Panda Computer Games para la consola Atari 2600.
08260689n|Flag Capture es un videojuego programado por Jim Huether y publicado en 1978 por Atari para la consola Atari 2600.
08260855n|Bullfight es un videojuego arcade publicado por Sega en 1984.
08260870n|Spiderdroid es un videojuego publicado en 1988 por la empresa Froggo para la consola Atari 2600.
08261144n|Cazaurio es un Juego de cartas coleccionables de la empresa Salo, S.
08261323n|SingStar Legends es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
08261422n|Night Stalker o Dark Cavern es un videojuego publicado en 1982 por Mattel Electronics y M-Network para la consola Intellivision y para Atari 2600.
08261459n|Metropolis es un videojuego arcade de la compañia española de videojuegos Topo Soft en 1989 para los ordenadores de 8 bits Sinclair ZX Spectrum, MSX, Amstrad CPC y Commodore 64.
08261563n|La espada sagrada es un videojuego del tipo videoaventura/arcade realizado por la compañia española de videojuegos Topo Soft en 1990 para los ordenadores de 8 bits Sinclair ZX Spectrum, MSX, Amstrad CPC 464 y para el de 16 bits PC.
08261742n|El mundo perdido / People from Sirius es un videojuego del tipo videoaventura para los ordenadores de 8 bits Sinclair ZX Spectrum y MSX.
08261828n|Silent Shadow es un videojuego arcade realizado por la compañia española de videojuegos Topo Soft en 1988 para los ordenadores de la epoca Sinclair ZX Spectrum, MSX, Amstrad CPC, Commodore 64 y PC.
08261945n|Coconuts es un videojuego publicado en 1982 por la empresa Telesys para la consola Atari 2600.
08262051n|SingStar La Edad de Oro del Pop Español es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
08262062n|SingStar '90s es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
08262063n|SingStar Rock Ballads es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
08262069n|Condor Attack es un videojuego matamarcianos publicado en 1982 por la empresa Ultravision para la consola Atari 2600.
08262237n|WWF No Mercy es un videojuego de lucha libre profesional publicado en 2000 en la consola Nintendo 64 y publicado por THQ.
08262540n|King Kong es un videojuego publicado en el año 1982 por la empresa Tigervision para la consola Atari 2600.
08262630n|Threshold es un videojuego publicado en 1982 por la empresa Tigervision para la consola Atari 2600.
08262696n|M*A*S*H es un videojuego publicado en 1983 por la empresa 20th Century Fox para la consola Atari 2600.
08262864n|La pantera rosa : La persecucion mas rosa es un juego en tres dimensiones producido por la compañia española Wanadoo junto a la compañia francesa Etranges Libelules.
08262911n|SingStar R&B es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
08263832n|SingStar Latino es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
08264427n|The Little Mermaid es un videojuego de la serie La sirenita de Disney.
08264593n|Sleeping Beauty es un videojuego de la pelicula de Disney, La bella durmiente.
08264623n|Change Lanes es un videojuego de carreras arcade creado por Taito en 1983 y diseñado por Dave Needle.
08264713n|Brain es un videojuego arcade publicado por Sega en 1986.
08264786n|Tinker Bell es un videojuego de la accion-aventura desarrollado por Estudio de Papaya y publicado por Disney Estudios Reciprocos para el Sony PlayStation 3 y Xbox 360.
08264809n|Pirates es un videojuego de tipo arcade publicado en 1994 por la empresa NIX.
08264860n|Robostrike es un juego de estrategia y accion MMOG frances que tiene versiones en ingles, español, aleman, frances, italiano, portugues y holandes, es completamente gratuito y no necesita ninguna instalacion previa.
08265105n|Zancos es un juego en el que participan 2 o mas personas, una de ellas arroja una moneda al aire y pide sello o aguila, si gana, ella pondra un castigo a quien quiera de los jugadores y si pierde los jugadores le aplicaran un castigo a ella y si lo realiza bien podra tener un zanco pero si lo realiza mal perdera un zanco, ganara la persona que logre obtener 20 zancos primero o los zancos que las personas que jugaran decidan ya que este juego no tiene limite de tiempo o de zancos.
08265127n|Architekton es un juego de mesa de estrategia para dos jugadores creado por Michael Schacht y comercializado por Queen Games.
08265426n|Kasteroids es un juego del estilo asteroids para KDE.
08265858n|El Zale es un juego de mesa por turnos, que se desarrolla sobre un tablero cuadrado y reticulado de 4 casillas por cada lado.
08266424n|La colmena es un videojuego de la compañia Opera Soft, publicado en 1992.
08266584n|Sombras de Guerra: La Guerra Civil Española es un videojuego de PC del genero de estrategia en tiempo real creado por la empresa malagueña Legend Studios ambientado en la Guerra Civil Española y que nos permite ponernos al frente de los ejercitos que participaron en aquella y lo mas llamativo de este juego: cambiar el rumbo de la historia.
08268169n|Layzur es un juego de estrategia persistente online gratuito y no requiere nada mas que un navegador web para poder jugar.
08268639n|El corro de la patata es un juego de corro tradicional infantil para tres o mas participantes.
08271158n|SingStar Pop Hits 2 es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
08272696n|Saint Seiya: The Hades, es un videojuego programado por el equipo de programacion Dimps, y distribuido por Bandai. su lanzamiento en Europa fue el 13 de Octubre del 2006.
08272782n|Smurf: Rescue in Gargamel's Castle es un videojuego basado en la serie de historietas Los pitufos para las videoconsolas ColecoVision y Atari 2600.
